Age,Height,Weight,Team,Year,City,Event,Medal
24.0,172.0,68.0,Switzerland,2004,Athina,Gymnastics Men's Individual All-Around,---
20.0,173.0,73.0,Romania,2004,Athina,Gymnastics Men's Individual All-Around,---
24.0,173.0,73.0,Romania,2008,Beijing,Gymnastics Men's Individual All-Around,---
24.0,178.0,63.0,Ukraine,2016,Rio de Janeiro,Gymnastics Men's Individual All-Around,---
24.0,160.0,56.0,South Korea,1964,Tokyo,Gymnastics Men's Individual All-Around,---
24.0,171.0,71.0,Soviet Union,1956,Melbourne,Gymnastics Men's Individual All-Around,---
28.0,171.0,71.0,Soviet Union,1960,Roma,Gymnastics Men's Individual All-Around,Gold
32.0,171.0,71.0,Soviet Union,1964,Tokyo,Gymnastics Men's Individual All-Around,Silver
21.0,163.0,61.0,Unified Team,1992,Barcelona,Gymnastics Men's Individual All-Around,---
25.0,163.0,61.0,Ukraine,1996,Atlanta,Gymnastics Men's Individual All-Around,---
21.0,182.0,77.0,Israel,2008,Beijing,Gymnastics Men's Individual All-Around,---
25.0,182.0,77.0,Israel,2012,London,Gymnastics Men's Individual All-Around,---
20.0,169.0,68.0,Unified Team,1992,Barcelona,Gymnastics Men's Individual All-Around,Gold
24.0,169.0,68.0,Belarus,1996,Atlanta,Gymnastics Men's Individual All-Around,Bronze
20.0,168.0,59.0,Soviet Union,1972,Munich,Gymnastics Men's Individual All-Around,---
21.0,165.0,62.0,China,1996,Atlanta,Gymnastics Men's Individual All-Around,---
18.0,164.0,61.0,Canada,2000,Sydney,Gymnastics Men's Individual All-Around,---
22.0,164.0,61.0,Canada,2004,Athina,Gymnastics Men's Individual All-Around,---
26.0,164.0,61.0,Canada,2008,Beijing,Gymnastics Men's Individual All-Around,---
30.0,157.0,56.0,North Korea,1972,Munich,Gymnastics Men's Individual All-Around,---
22.0,167.0,62.0,Belarus,1996,Atlanta,Gymnastics Men's Individual All-Around,---
