Age,Height,Weight,Team,Year,City,Event,Medal
34.0,160.0,56.0,United States,2008,Beijing,Tennis Women's Singles,---
21.0,173.0,56.0,Romania,1996,Atlanta,Tennis Women's Singles,---
23.0,172.0,63.0,Hungary,1996,Atlanta,Tennis Women's Singles,---
21.0,178.0,62.0,Hungary,2004,Athina,Tennis Women's Singles,---
17.0,183.0,72.0,Greece,2000,Sydney,Tennis Women's Singles,---
21.0,183.0,72.0,Greece,2004,Athina,Tennis Women's Singles,---
25.0,183.0,72.0,Greece,2008,Beijing,Tennis Women's Singles,---
21.0,164.0,52.0,Japan,1992,Barcelona,Tennis Women's Singles,---
25.0,164.0,52.0,Japan,1996,Atlanta,Tennis Women's Singles,---
20.0,191.0,79.0,United States,1996,Atlanta,Tennis Women's Singles,Gold
24.0,191.0,79.0,United States,2000,Sydney,Tennis Women's Singles,---
24.0,160.0,53.0,Paraguay,2000,Sydney,Tennis Women's Singles,---
21.0,177.0,77.0,South Africa,1992,Barcelona,Tennis Women's Singles,---
25.0,177.0,77.0,South Africa,1996,Atlanta,Tennis Women's Singles,---
21.0,177.0,59.0,France,2000,Sydney,Tennis Women's Singles,---
25.0,177.0,59.0,France,2004,Athina,Tennis Women's Singles,---
23.0,167.0,69.0,Australia,2008,Beijing,Tennis Women's Singles,---
18.0,180.0,64.0,Russia,2000,Sydney,Tennis Women's Singles,Silver
22.0,180.0,64.0,Russia,2004,Athina,Tennis Women's Singles,---
26.0,180.0,64.0,Russia,2008,Beijing,Tennis Women's Singles,Gold
21.0,169.0,59.0,France,1988,Seoul,Tennis Women's Singles,---
28.0,172.0,64.0,Argentina,2004,Athina,Tennis Women's Singles,---
25.0,159.0,55.0,Japan,2016,Rio de Janeiro,Tennis Women's Singles,---
17.0,175.0,57.0,Australia,2000,Sydney,Tennis Women's Singles,---
22.0,176.0,60.0,Poland,2008,Beijing,Tennis Women's Singles,---
23.0,170.0,58.0,Romania,1996,Atlanta,Tennis Women's Singles,---
27.0,170.0,58.0,Romania,2000,Sydney,Tennis Women's Singles,---
19.0,170.0,56.0,Argentina,2004,Athina,Tennis Women's Singles,---
23.0,170.0,56.0,Argentina,2008,Beijing,Tennis Women's Singles,---
22.0,169.0,61.0,Colombia,2012,London,Tennis Women's Singles,---
26.0,169.0,61.0,Colombia,2016,Rio de Janeiro,Tennis Women's Singles,---
21.0,160.0,55.0,Japan,1992,Barcelona,Tennis Women's Singles,---
20.0,174.0,65.0,New Zealand,2008,Beijing,Tennis Women's Singles,---
24.0,174.0,65.0,New Zealand,2012,London,Tennis Women's Singles,---
21.0,164.0,58.0,Italy,2008,Beijing,Tennis Women's Singles,---
25.0,164.0,58.0,Italy,2012,London,Tennis Women's Singles,---
29.0,164.0,58.0,Italy,2016,Rio de Janeiro,Tennis Women's Singles,---
20.0,170.0,60.0,Mexico,1988,Seoul,Tennis Women's Singles,---
17.0,150.0,60.0,Haiti,2000,Sydney,Tennis Women's Singles,---
33.0,167.0,57.0,United States,1988,Seoul,Tennis Women's Singles,---
24.0,171.0,62.0,Italy,1996,Atlanta,Tennis Women's Singles,---
28.0,171.0,62.0,Italy,2000,Sydney,Tennis Women's Singles,---
32.0,171.0,62.0,Italy,2004,Athina,Tennis Women's Singles,---
20.0,176.0,63.0,United States,1992,Barcelona,Tennis Women's Singles,Bronze
24.0,176.0,63.0,United States,1996,Atlanta,Tennis Women's Singles,---
30.0,165.0,55.0,Belgium,2016,Rio de Janeiro,Tennis Women's Singles,---
