Age,Height,Weight,Team,Year,City,Event,Medal
20.0,180.0,74.0,Chinese Taipei,2004,Athina,Tennis Men's Singles,---
24.0,180.0,74.0,Chinese Taipei,2008,Beijing,Tennis Men's Singles,---
28.0,180.0,74.0,Chinese Taipei,2012,London,Tennis Men's Singles,---
32.0,180.0,74.0,Chinese Taipei,2016,Rio de Janeiro,Tennis Men's Singles,---
24.0,187.0,75.0,Mexico,1988,Seoul,Tennis Men's Singles,---
28.0,187.0,75.0,Mexico,1992,Barcelona,Tennis Men's Singles,---
24.0,185.0,73.0,Belgium,2004,Athina,Tennis Men's Singles,---
23.0,180.0,74.0,Argentina,1992,Barcelona,Tennis Men's Singles,---
22.0,175.0,72.0,Israel,1988,Seoul,Tennis Men's Singles,---
28.0,185.0,78.0,Ukraine,2016,Rio de Janeiro,Tennis Men's Singles,---
25.0,175.0,73.0,Costa Rica,2000,Sydney,Tennis Men's Singles,---
26.0,180.0,72.0,Slovakia,2016,Rio de Janeiro,Tennis Men's Singles,---
30.0,198.0,86.0,United States,2000,Sydney,Tennis Men's Singles,---
22.0,182.0,80.0,Chile,2000,Sydney,Tennis Men's Singles,---
26.0,182.0,80.0,Chile,2004,Athina,Tennis Men's Singles,Gold
30.0,182.0,80.0,Chile,2008,Beijing,Tennis Men's Singles,---
25.0,180.0,76.0,Australia,1988,Seoul,Tennis Men's Singles,---
29.0,180.0,76.0,Australia,1992,Barcelona,Tennis Men's Singles,---
26.0,185.0,74.0,France,2008,Beijing,Tennis Men's Singles,---
20.0,185.0,80.0,Japan,1988,Seoul,Tennis Men's Singles,---
24.0,185.0,80.0,Japan,1992,Barcelona,Tennis Men's Singles,---
28.0,185.0,80.0,Japan,1996,Atlanta,Tennis Men's Singles,---
25.0,183.0,75.0,Brazil,1988,Seoul,Tennis Men's Singles,---
28.0,183.0,75.0,Brazil,1992,Barcelona,Tennis Men's Singles,---
20.0,192.0,80.0,Germany,2004,Athina,Tennis Men's Singles,---
28.0,190.0,83.0,United States,1988,Seoul,Tennis Men's Singles,Silver
24.0,190.0,81.0,Czechoslovakia,1988,Seoul,Tennis Men's Singles,Gold
25.0,180.0,64.0,Brazil,1996,Atlanta,Tennis Men's Singles,---
23.0,184.0,80.0,Austria,2004,Athina,Tennis Men's Singles,---
27.0,184.0,80.0,Austria,2008,Beijing,Tennis Men's Singles,---
31.0,184.0,80.0,Austria,2012,London,Tennis Men's Singles,---
27.0,183.0,79.0,Australia,2016,Rio de Janeiro,Tennis Men's Singles,---
24.0,183.0,85.0,Czech Republic,2008,Beijing,Tennis Men's Singles,---
25.0,185.0,74.0,Argentina,1992,Barcelona,Tennis Men's Singles,---
23.0,196.0,90.0,Belarus,2000,Sydney,Tennis Men's Singles,---
27.0,196.0,90.0,Belarus,2004,Athina,Tennis Men's Singles,---
31.0,196.0,90.0,Belarus,2008,Beijing,Tennis Men's Singles,---
30.0,177.0,81.0,Nigeria,1988,Seoul,Tennis Men's Singles,---
24.0,185.0,77.0,Argentina,2008,Beijing,Tennis Men's Singles,---
28.0,185.0,77.0,Argentina,2012,London,Tennis Men's Singles,---
32.0,185.0,77.0,Argentina,2016,Rio de Janeiro,Tennis Men's Singles,---
21.0,193.0,80.0,France,2008,Beijing,Tennis Men's Singles,---
29.0,193.0,80.0,France,2016,Rio de Janeiro,Tennis Men's Singles,---
23.0,178.0,68.0,Ecuador,1996,Atlanta,Tennis Men's Singles,---
21.0,180.0,72.0,Mexico,1988,Seoul,Tennis Men's Singles,---
21.0,177.0,77.0,Portugal,1992,Barcelona,Tennis Men's Singles,---
27.0,190.0,84.0,Spain,2004,Athina,Tennis Men's Singles,---
29.0,192.0,75.0,Luxembourg,2012,London,Tennis Men's Singles,---
33.0,192.0,75.0,Luxembourg,2016,Rio de Janeiro,Tennis Men's Singles,---
21.0,168.0,59.0,Bahamas,2008,Beijing,Tennis Men's Singles,---
21.0,190.0,83.0,Great Britain,2008,Beijing,Tennis Men's Singles,---
